	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	LBW242	Lapatinib	Nilotinib	Nutlin-3	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	Paclitaxel	Panobinostat	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
1321N1_CENTRAL_NERVOUS_SYSTEM	0.193676725	8.717773588	0.59863168		0.783196032		1.143991709		1.240993977			8.324543571		7.235623837				0.060533781	0.179582372		3.58612299	8.73090869	0.154171005	2.8349001410000003
22RV1_PROSTATE	0.267214537	8.165163646		0.002542614		0.078334875			8.40245823		7.6603927610000015	0.002542614	1.220477104	3.142666101	2.53306222	0.983415067	0.002542614	0.027810322	8.752347289	6.9543752670000005	1.296006083	9.014531131	0.087474808	
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.052080587000000005	1.514508486	8.619237044		1.58300364		2.518679857					8.754744328						0.0543386			2.980663776		0.039199714	
5637_URINARY_TRACT	0.060907152	8.006595166	2.464420795	2.747059107	8.323013746	0.067720294	5.683910847000001	2.063686132	1.811544776	8.104518587000001		8.767333126		3.419522524		2.666912317	0.002542614	0.049132336	0.209953845	7.126125336	2.781574488	8.54903825	0.166810349	2.656301498
639V_URINARY_TRACT	0.14792989199999998	0.931195736	0.098134629	0.13161619		0.06766881				6.535492897		0.032919586	8.630770133	8.761174437000001			0.00807147	0.042552181	2.480028868		1.912146091	3.713824034	0.042009655	0.703420281
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.378334939	8.700654505	3.030215025		8.536011501	0.035028514	0.313795686			0.793680906	1.931174517	0.029988743	0.510099769	2.841043949	3.4204852580000003			0.01080374	0.149574935	6.9530553820000005	1.480177522	0.6865006690000001	0.03176076	8.711223009
769P_KIDNEY	0.12979719	0.306242794	1.206146479	1.876256108	8.234050367	0.70194459			0.435292333	2.511436701	3.253212929	8.204220052	8.540805343999999	7.02981329	7.583794117	8.264207248	0.413531601	0.073680386	0.5088287		8.207641333	8.603204735	0.529701352	1.545570254
786O_KIDNEY	0.280528814	5.267667294	2.9219698910000003		8.381701337	0.176553965			8.749792572999999	8.565154598					7.68282795		0.211432382	0.215351701	0.396326691	6.876547337000001	8.02610313	2.520377398	0.056923565	
8305C_THYROID	0.244567513	8.520771485	1.489487052	0.108338751	4.118249416	0.402237684	8.07438487		8.374241953			0.010539235	0.575818241	8.447451893		3.316851616	0.002542614	0.047671352	0.498396903	3.127674103	1.63229394	8.669612038	0.11459057	
8505C_THYROID	0.28396824	1.846689939		0.232873708		0.118262023			8.2541076	8.214055728		0.002542614		7.526344299		2.197942019	0.01558148	0.064984627	1.4708606000000002	6.1525797839999985	8.229923852	8.485849565	0.087170333	
