	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130
200814_at	0.247	0.7879999999999999	0.0	1.5019999999999998	-2.366	-0.5660000000000001	-0.6409999999999999	0.79	-0.652	-4.226	-3.787	0.075	1.3719999999999999	-0.9209999999999999	-1.168	0.175	0.763	-1.724	-5.193	-1.4809999999999999	1.2590000000000001	-0.306	0.58	-1.7919999999999998	0.319	0.73	1.7080000000000002	0.386	0.19899999999999998	1.149	0.835	-6.0920000000000005	0.467	-1.5190000000000001	-2.676	-0.21600000000000003	0.58	0.8590000000000001	1.315	3.017	-5.553	-0.919	-2.161	0.09699999999999999	2.17	-2.7539999999999996	5.088	5.763999999999999	1.068	-1.716	1.131	0.628	-0.929	1.6159999999999999	0.121	0.706	-0.568	0.413	0.047	-0.077	-3.4139999999999997	-2.802	-0.11900000000000001	-1.013	-0.633	0.245	-2.052	0.8370000000000001	1.089	1.215	0.353	0.568	1.923	0.05	2.5789999999999997	0.853	1.08	1.171	-0.755	-1.515	0.65	-0.9359999999999999	-1.599	-0.134	-1.5490000000000002	1.41	1.26	-0.877	1.305	0.065	1.3119999999999998	-0.105	1.882	0.8190000000000001	-1.403	-0.885	1.113	1.7280000000000002	0.8009999999999999	0.237	-0.885	-0.098	2.016	0.076	1.151	1.745	0.08900000000000001	1.722	0.16399999999999998	-2.909	1.474	2.276	4.508	-0.905	0.601	-2.121	-0.44799999999999995	0.919	-0.12300000000000001	2.165	2.053	0.245	0.977	0.904	1.112	0.912	2.658	0.7879999999999999	2.658	-0.342	-0.81
222103_at	0.33299999999999996	-0.09300000000000001	2.265	-0.866	0.017	1.554	0.312	-3.114	-0.528	-3.88	-4.352	-2.551	-2.34	0.33	-3.25	-0.331	-3.8480000000000003	-0.89	-1.905	-1.5430000000000001	0.977	0.674	-0.009000000000000001	-5.517	0.46399999999999997	-0.165	0.674	-1.4969999999999999	-2.83	-4.373	-4.423	-9.117	0.39799999999999996	-2.074	0.018000000000000002	-2.526	-0.86	0.374	-7.721	-2.426	-5.267	0.966	-2.678	-1.85	0.11199999999999999	-3.5060000000000002	-4.187	3.924	-0.893	1.281	-2.6060000000000003	-3.362	-0.16	2.043	0.879	0.19	-0.44299999999999995	-1.02	-1.168	-0.5710000000000001	3.0069999999999997	2.697	3.576	0.16899999999999998	0.635	0.45899999999999996	0.596	2.364	0.442	-0.7809999999999999	0.33	0.6920000000000001	-4.212	-5.17	0.679	2.57	0.8859999999999999	0.7929999999999999	-0.081	-0.971	-1.047	1.598	-1.868	-0.977	-0.055999999999999994	-4.101	-5.433	-3.898	-4.9910000000000005	-3.216	-3.366	0.354	-2.117	-2.154	-0.9940000000000001	-1.0390000000000001	-2.77	-1.854	-2.283	-1.247	-0.134	-1.5519999999999998	-1.632	-2.033	-0.34299999999999997	-0.146	-0.34600000000000003	-0.14	-1.464	-2.765	-1.225	-0.789	-0.716	2.7939999999999996	-2.862	-2.6260000000000003	-0.606	-4.29	0.1	-4.151	-5.501	-1.286	1.5619999999999998	0.369	0.5589999999999999	-0.02	0.046	-2.096	0.34299999999999997	-0.951	-1.075
201453_x_at	-0.345	-5.3229999999999995	0.5710000000000001	0.742	-4.503	-3.753	0.0	-0.135	-1.45	3.48	1.47	0.7959999999999999	0.223	2.838	-0.507	-2.0140000000000002	-4.522	0.5529999999999999	1.087	2.182	-0.755	-3.036	-0.31	0.155	-0.141	1.5419999999999998	-1.236	5.615	-0.141	-1.4980000000000002	-2.713	-35.624	0.912	-1.625	-0.998	-0.317	0.769	0.331	-2.339	-1.124	3.4419999999999997	-1.43	1.033	1.685	0.042	-0.127	0.0	1.4140000000000001	-0.436	-1.006	-0.345	-0.674	1.6280000000000001	0.127	-0.8190000000000001	-0.266	-0.981	-1.357	-0.667	-0.281	-0.261	-0.44799999999999995	0.486	-0.44799999999999995	0.674	-1.469	-0.21899999999999997	0.10800000000000001	0.674	0.541	0.40399999999999997	-0.401	1.2830000000000001	1.571	-2.852	-1.995	-2.648	-3.134	1.5130000000000001	-0.662	-2.251	0.418	2.6519999999999997	-0.502	0.0	-5.1739999999999995	-3.986	-4.837	-3.283	-4.047	-4.691	0.997	-3.491	-3.702	-1.681	-0.8809999999999999	-0.662	-0.376	-0.486	0.17300000000000001	-0.591	-1.068	0.418	-2.0069999999999997	-1.232	0.435	-0.434	-0.7340000000000001	-1.275	-0.289	0.149	1.053	1.264	0.45899999999999996	0.435	0.638	0.149	-1.253	-0.349	0.0	0.313	1.203	-0.151	-0.968	-0.6559999999999999	0.262	-1.499	-0.303	0.262	0.0	0.213
204131_s_at	3.0180000000000002	1.2990000000000002	1.696	2.063	1.702	1.205	-0.254	-0.33899999999999997	-0.7140000000000001	0.885	-0.428	0.769	2.372	-0.228	0.953	-0.9670000000000001	2.3080000000000003	-1.531	2.852	-0.026000000000000002	3.366	3.753	2.391	7.468	0.40399999999999997	0.645	2.654	-0.569	0.8009999999999999	-0.408	-0.991	4.285	-0.768	1.058	-0.012	2.511	0.327	3.235	-0.255	0.674	4.539	0.602	2.8689999999999998	4.686	-1.492	2.96	-1.05	-1.136	0.254	2.082	-0.48200000000000004	-0.889	0.852	0.02	1.3659999999999999	0.535	-0.536	-1.479	3.4989999999999997	-1.167	-0.95	1.124	4.724	-0.175	0.0	-0.8190000000000001	-2.239	0.47100000000000003	0.963	2.675	0.8370000000000001	0.313	9.541	-1.631	7.2989999999999995	-0.993	-3.39	-4.033	-0.701	-0.871	-4.803	-1.9140000000000001	-6.725	0.24600000000000002	0.485	4.0569999999999995	-1.272	5.08	-0.39399999999999996	6.879	6.319	-0.8320000000000001	-4.209	-2.377	6.178	-0.897	-4.064	-0.988	-3.217	-3.972	1.78	-6.854	-1.085	-0.466	1.744	-1.881	1.7619999999999998	-0.7959999999999999	-1.112	-0.40299999999999997	-4.0969999999999995	1.819	0.17600000000000002	-3.753	-0.363	-0.996	-0.534	1.594	1.729	5.622000000000001	-0.9470000000000001	-2.309	-0.205	-1.2890000000000001	0.899	-0.6709999999999999	1.794	0.09	-0.948	2.897	1.115
200059_s_at	0.221	-2.622	-1.026	0.624	-3.565	-1.3559999999999999	0.303	-0.064	-2.318	-0.065	-1.155	-1.679	-1.38	-0.327	0.943	-1.298	2.614	-0.665	-0.924	1.3330000000000002	-1.2570000000000001	-3.571	-0.252	-0.344	0.6459999999999999	-0.317	0.877	-2.0380000000000003	-1.19	-0.643	-0.807	2.855	0.7290000000000001	-1.6969999999999998	0.37	-1.506	-0.168	-0.293	0.596	-0.45399999999999996	-2.6860000000000004	-0.621	2.5669999999999997	-0.779	2.092	3.3160000000000003	2.498	7.702999999999999	-0.48100000000000004	-0.49700000000000005	-0.11800000000000001	0.93	1.778	-0.395	0.11900000000000001	-0.364	-0.262	-0.055999999999999994	-1.483	0.6709999999999999	-1.091	-1.122	1.0270000000000001	-1.1179999999999999	-1.804	-0.818	-0.012	-1.084	0.14	0.312	0.526	0.284	-5.9910000000000005	-0.778	-2.311	-2.932	3.805	0.023	0.284	1.469	-0.45	-0.139	-2.8480000000000003	0.0	-0.345	-0.703	-0.085	-0.851	3.714	0.677	1.962	1.599	-0.904	-2.195	-0.18	0.191	-0.9440000000000001	-2.177	-3.0460000000000003	-1.953	-3.6319999999999997	-0.769	-1.3	-0.732	1.2109999999999999	-3.927	-1.1079999999999999	0.34700000000000003	-0.095	-2.542	0.326	-0.16899999999999998	1.15	-1.9169999999999998	-1.4040000000000001	-0.8270000000000001	4.125	0.045	0.239	5.801	7.928999999999999	-3.1289999999999996	-1.325	-1.182	0.5529999999999999	-0.053	-1.423	-0.455	-0.8759999999999999	-0.152	-0.067
205067_at	0.16699999999999998	11.819	1.969	0.179	3.486	4.855	-2.195	5.231	2.127	-0.188	0.691	0.242	0.368	-0.684	-1.032	-0.556	0.299	-0.084	-0.544	0.789	-0.3	16.129	-1.145	-0.040999999999999995	0.39299999999999996	0.81	0.518	1.079	0.6829999999999999	-0.341	-0.489	5.315	-1.594	1.588	-1.307	0.486	0.925	1.0090000000000001	-1.733	-0.932	4.543	0.36	-0.42700000000000005	1.949	0.667	3.572	3.458	9.734	-1.186	0.674	-0.821	-0.542	0.174	-0.738	-0.35200000000000004	-0.414	0.636	0.596	2.176	-0.624	2.989	3.0610000000000004	-0.322	1.093	-0.494	-0.063	-1.371	-0.094	-1.021	-1.062	0.622	-0.377	-0.026000000000000002	2.151	-0.32	-1.548	1.037	1.205	-0.544	-0.802	3.1060000000000003	-0.08199999999999999	-0.7290000000000001	0.83	-0.535	8.96	3.802	7.5760000000000005	4.968999999999999	2.62	3.095	-1.3030000000000002	2.4530000000000003	1.165	2.424	1.165	0.48	0.107	0.5489999999999999	-0.14	-1.548	-0.084	0.5489999999999999	0.971	-0.154	0.9740000000000001	-0.634	4.475	2.075	4.185	-0.135	0.8109999999999999	1.464	0.0	-0.135	-0.7959999999999999	-0.8220000000000001	0.579	-0.7959999999999999	-0.22399999999999998	0.505	0.0	6.9510000000000005	2.9019999999999997	1.31	1.76	0.8740000000000001	2.247	2.086	-0.7440000000000001	-1.505
213702_x_at	-1.266	-1.4509999999999998	0.368	-1.0090000000000001	-1.6380000000000001	0.358	-0.7559999999999999	-0.589	0.309	-0.564	-1.244	1.579	-0.9329999999999999	0.518	2.0709999999999997	-0.8540000000000001	1.84	1.112	0.922	-0.092	1.611	-0.847	-1.906	-0.449	-0.7959999999999999	-0.845	1.4969999999999999	0.251	-0.687	-0.36700000000000005	-0.597	2.8360000000000003	-0.785	0.11599999999999999	-0.508	-0.847	0.25	-0.308	2.767	-2.583	-1.158	1.436	0.5539999999999999	-0.491	1.5930000000000002	-0.56	4.541	14.626	-0.5479999999999999	-0.72	0.275	-0.799	0.057999999999999996	-0.287	1.01	-0.185	1.17	-0.528	-0.8240000000000001	-0.731	-2.165	-0.589	-0.064	0.405	-1.036	-1.0170000000000001	-1.295	-0.48	0.523	0.7979999999999999	0.613	0.627	-0.237	1.736	-0.127	0.494	-0.022000000000000002	0.609	-0.33899999999999997	3.63	-0.855	0.013999999999999999	4.149	-0.748	-2.06	4.27	3.701	4.102	4.461	3.266	2.085	-0.7190000000000001	-0.019	-0.484	-1.787	-1.023	3.9819999999999998	-0.501	0.95	1.815	-0.126	-1.239	0.647	3.06	-0.9670000000000001	-1.143	-0.581	-0.331	-0.815	0.39799999999999996	2.485	2.519	0.235	-2.9019999999999997	0.8859999999999999	0.41700000000000004	-0.508	0.36700000000000005	0.66	1.466	-1.018	0.11800000000000001	-0.057999999999999996	-0.789	-0.1	-0.685	-0.142	-0.818	-0.395	1.067	-0.8859999999999999
214435_x_at	0.07200000000000001	-2.175	0.395	1.171	0.9740000000000001	1.021	0.9309999999999999	-0.42	0.55	-0.17600000000000002	1.276	5.216	4.493	2.8569999999999998	5.825	0.061	1.5730000000000002	4.235	4.641	-1.005	-1.743	-2.115	0.7090000000000001	2.0	0.46799999999999997	1.151	-0.122	-0.354	-0.29600000000000004	-1.865	-0.9179999999999999	0.342	0.478	-1.021	-0.02	1.475	-1.11	2.214	1.3530000000000002	1.98	-1.77	0.513	0.418	-0.266	1.124	-0.516	-6.251	1.117	-0.602	-1.969	0.0	1.068	0.868	0.086	0.831	0.7	-0.605	0.769	-2.693	0.191	-2.592	-2.9389999999999996	-1.473	1.681	-0.37799999999999995	0.564	0.259	-1.725	0.682	0.146	0.23199999999999998	0.922	3.7539999999999996	3.883	1.04	0.049	-0.065	1.04	0.653	-2.323	-2.9210000000000003	-0.909	1.3969999999999998	0.0	-0.848	3.411	1.876	2.912	2.542	3.531	4.492	-0.597	-1.147	-1.5190000000000001	-0.406	-2.168	1.237	1.7109999999999999	0.496	-0.102	1.732	0.292	2.094	0.0	-1.1440000000000001	0.027999999999999997	-0.153	-1.5	-0.6920000000000001	1.399	-0.762	-1.722	-1.456	4.7860000000000005	0.877	-0.883	1.732	0.161	-0.982	3.495	4.875	0.35600000000000004	-1.067	0.74	1.899	0.784	0.0	-0.139	0.919	0.185	-0.322
201334_s_at	-0.377	-1.073	-1.18	-0.978	-2.293	-1.479	-0.251	-0.5489999999999999	-1.275	2.099	-2.169	-0.196	-1.7469999999999999	0.0	1.589	0.723	-0.44799999999999995	0.21100000000000002	-2.3890000000000002	0.41	-2.052	-4.78	-0.132	-0.753	0.915	-0.525	0.955	-0.263	1.505	0.18600000000000003	1.7269999999999999	2.261	-0.578	-1.249	-1.421	-1.9509999999999998	-0.575	-0.6409999999999999	-0.813	-1.797	6.417000000000001	0.364	1.9709999999999999	0.42700000000000005	-0.091	0.955	2.458	10.270999999999999	-0.49700000000000005	-0.19399999999999998	0.361	-0.17	0.762	-0.882	0.41200000000000003	0.26899999999999996	1.617	-0.865	-0.626	-1.156	-1.3630000000000002	-1.555	-1.245	2.6060000000000003	-0.8270000000000001	-0.726	0.728	0.21600000000000003	-0.513	2.154	0.114	-0.92	-1.5859999999999999	-0.317	-2.85	-0.22399999999999998	-1.541	-0.381	-0.302	0.759	-0.914	0.009000000000000001	-0.133	-0.42700000000000005	-0.433	-3.264	-2.086	4.4910000000000005	5.176	-2.95	-3.659	-0.64	-0.359	-0.39399999999999996	2.131	0.171	0.537	0.9079999999999999	-1.364	0.105	0.56	0.7120000000000001	1.911	-0.308	2.5789999999999997	0.126	-0.301	-1.7080000000000002	0.109	0.599	0.8440000000000001	3.009	-0.094	-1.5659999999999998	-0.157	0.17800000000000002	0.0	1.068	-0.39399999999999996	2.116	2.9010000000000002	-2.0540000000000003	0.643	0.943	-0.691	0.11199999999999999	-1.7309999999999999	-2.287	0.455	-2.082	-0.7
213721_at	-1.036	-1.598	0.336	-0.797	-0.523	-1.2209999999999999	-2.023	-2.215	-1.229	-1.2429999999999999	-1.462	-1.944	-1.235	-2.151	-2.7960000000000003	-0.831	-0.132	-3.247	-1.357	0.005	-1.185	-2.298	-0.629	-1.65	-0.654	-0.657	-1.681	-1.6769999999999998	-0.721	-2.385	-2.391	1.5530000000000002	-0.917	-0.7490000000000001	-2.947	-1.902	0.667	-1.046	-1.804	-1.013	-2.8369999999999997	-1.916	-0.521	0.20199999999999999	2.066	-0.293	4.102	8.112	4.737	4.2989999999999995	-0.396	0.111	-0.5429999999999999	-0.325	0.32899999999999996	-3.603	0.743	1.031	-1.5819999999999999	-0.69	1.663	0.7709999999999999	3.11	-1.146	-1.885	-0.13699999999999998	-2.208	-2.842	-2.3609999999999998	-1.379	-0.958	-1.051	0.408	0.846	1.605	3.9339999999999997	1.021	2.667	-0.7509999999999999	0.9840000000000001	-0.528	-0.196	-1.9469999999999998	-2.6489999999999996	-1.719	3.7489999999999997	2.5980000000000003	2.407	0.275	3.299	1.489	0.033	8.546	5.65	0.54	0.833	2.202	2.311	1.166	1.319	-0.484	0.527	2.508	1.585	1.4869999999999999	6.766	1.1909999999999998	0.37	0.5720000000000001	0.9470000000000001	1.256	2.021	-0.919	-0.598	-1.495	0.9990000000000001	-3.951	1.405	0.748	-0.275	-2.346	-0.456	2.0709999999999997	1.288	0.44	-0.19899999999999998	9.576	2.485	1.7530000000000001	6.977	3.266
